ulna	forearm	1
pincer	crustacean	1
conjunctiva	optic	1
shaft	plume	1
zipper	trouser	1
stage	journeying	1
spike	shoe	1
second	minute	1
heat_shield	spacecraft	1
skull	head	1
south_carolina	south	1
liver	circulatory_system	1
oxygen_mask	scuba	1
transportation	mercantilism	1
lithosphere	world	1
turbojet_engine	turboprop	1
rochester	ny	1
dominican_republic	caribbean	1
short	infield	1
chain	wheel	1
water	hydrosphere	1
nigeria	africa	1
hub	propellor	1
sedimentary	parachute	1
south_dakota	usa	1
plunger	reciprocating_engine	1
roof	motorcar	1
kinetochore	chromosome	1
afterburner	turbojet_engine	1
brake_pedal	hydraulic_brakes	1
nasopharynx	throat	1
radiator_grille	motorcar	1
pacific_northwest	british_columbia	1
pueblo	colorado	1
frontal_lobe	pallium	1
viewfinder	gunsight	1
mount	framework	1
radical	molecule	1
ordnance	battery	1
doubling	cards	1
endometrium	womb	1
crumb	baked_goods	1
ligament	musculature	1
act	opera	1
tide	shellfish	1
madison	wisconsin	1
neckline	frock	1
clinch	bolt	1
medina	saudi_arabia	1
gig	tackle	1
subclavian_artery	collarbone	1
lock	door	1
chester	pennsylvania	1
topping	dish	1
racine	wisconsin	1
folktale	folklore	1
ward	infirmary	1
thorax	vertebrate	1
houston	tx	1
hierarchy	system	1
southeast_asia	asia	1
line	stanza	1
volcanic_crater	volcano	1
pixel	raster	1
scruple	dram	1
qualifier	phrase	1
barbary	africa	1
backbone	network	1
carpel	flower	1
spain	europe	1
paging	page	1
word	kilobyte	1
courtyard	edifice	1
roll	craps	1
tail	ship	1
window	motorcar	1
atom	element	1
locker_room	workplace	1
epididymis	testis	1
tide	arthropod	1
chassis	motor_vehicle	1
head	screw	1
matrix	connective_tissue	1
aden	yemen	1
door	threshold	1
iris	optic	1
choir	sanctuary	1
acrobatic_stunt	tumbling	1
nj	usa	1
subcontinent	continent	1
beach	shore	1
sky	world	1
panel	umbrella	1
genesis	torah	1
perch	roost	1
toe	pes	1
roanoke	virginia	1
detector	wireless	1
term	proposition	1
sixties	years	1
urethra	phallus	1
liverpool	england	1
heel	shoe	1
oregon	usa	1
leg	trouser	1
loquat	loquat_tree	1
nucleus	cell	1
declaration	bridge	1
lebanon	asia	1
layer	laminate	1
pacific_northwest	usa	1
plinth	pillar	1
pillar	temple	1
seattle	washington	1
stand	stadium	1
hold	saucepan	1
wiper_blade	motor_vehicle	1
hold	luggage	1
thigh	leg	1
osmosis	dialysis	1
singapore	southeast_asia	1
el_paso	tx	1
blade	knife	1
midstream	watercourse	1
blade	sword	1
lid	jar	1
zipper	cardigan	1
whorl	hairstyle	1
penny	quid	1
subsumption	syllogism	1
valve	ticker	1
casper	wyoming	1
epoch	period	1
vernal_equinox	march	1
rudder	watercraft	1
paunch	trunk	1
exodus	torah	1
chest	thorax	1
bushel	quarter	1
drawer	dresser	1
introduction	yarn	1
germany	europe	1
warp	weave	1
